"","Sample.number","Moisture.treatment","Residue.type","Lab.rep","Glucose.addition.treatment","Harvest.day","frac.mass.recovery","frac.pct.pom","frac.pct.maom","pom.n.pct","pom.c.pct","pom.n.g.kg","pom.c.g.kg","pom.cn","maom.n.pct","maom.c.pct","maom.n.g.kg","maom.c.g.kg","maom.cn","bulk.soil.N.g.kg","bulk.soil.C.g.kg","bulk.soil.cn","frac.pct.n.as.pon","frac.pct.c.as.poc","frac.pct.n.as.maon","frac.pct.c.as.maoc","frac.c.recovery","frac.n.recovery","d13C.som","d13C.pom","d13C.maom","X13soc","X13poc","X13maoc","doc","mbc","X13doc","X13mbc","X13co2","CUE","GMC","Moisture.pct","co2","co2.native","dna","file.names","richness","shannon.div","simpson.div","invsimpson.div","evenness","Harvest.day2"
"27","122","Ambient","Clover","R4","G-50","T90",96.23074413,18.72132026,81.27867974,0.039,0.906,0.070261097,1.632219321,23.23076923,0.125,0.967,0.977688479,7.563398074,7.736,1.89,13.83,7.32,3.72,11.80201968,51.73,54.68834472,66.49036439,55.4470675,-16.83139966,-21.41633834,-18.86016102,21.38762111,1.13201009,11.20343618,39.14,550.0901797,1.909606256,1.226266154,25.96642726,0.045095428,0.26142132,20.72434608,1236.090407,-3.504581313,77.93,"Wooliver_ITS_2G7_Beever240927_S315",458,3.79622144290818,0.945250268488669,18.2649297520855,0.619602170183602,"6 mo"
"28","123","Ambient","Clover","R4","G-00","T1",98.01169786,19.98288156,80.01711844,0.121,1.968,0.236985294,3.854438503,16.26446281,0.127,1.019,0.996011932,7.991623295,8.023622047,1.94,14.92,7.69,12.22,25.83403822,51.34,53.56315882,79.39719704,63.55655804,-24.15237439,-25.22655189,-23.91254586,NA,NA,NA,60.84,590.6930274,NA,NA,NA,NA,0.259117083,20.57926829,14.30474742,NA,121.284,"Wooliver_ITS_1G4_Beever240927_S195",515,4.09969949850095,0.958313979438345,23.9888573321832,0.656564688888306,"24 hr"
"29","124","Ambient","Clover","R4","G-00","T90",97.81845436,20.02376971,79.97623029,0.12,1.89,0.235043304,3.701932045,15.75,0.161,1.111,1.259527348,8.691521019,6.900621118,1.85,13.52,7.31,12.71,27.38115418,68.08,64.28639807,91.66755225,80.78760286,-22.56299536,-23.98776387,-24.35277662,NA,NA,NA,42.43,696.1336095,NA,NA,NA,NA,0.259259259,20.58823529,1213.480846,NA,84.81,"Wooliver_ITS_1G9_Beever240927_S235",462,3.82035765533489,0.94817691341928,19.2964191440506,0.622657851909923,"6 mo"
"30","125","Ambient","No residue","R4","G-50","T1",97.94347826,17.89305824,82.10694176,0.075,1.309,0.131438127,2.294033445,17.45333333,0.123,1.1,0.989146254,8.846023411,8.943089431,1.22,11.9,9.75,10.77,19.27759197,81.08,74.33633119,93.61392316,91.85117879,-11.67777228,-15.0517312,-14.44265186,34.00449231,5.268557328,19.61800186,27.79,563.634279,2.822760947,6.052268297,14.70128614,0.291625626,0.238921002,19.28460342,20.80567863,-1.848619946,74.138,"Wooliver_ITS_2H2_Beever240927_S276",962,6.10769509941428,0.99613218645966,258.544004143516,0.889166145053364,"24 hr"
"31","126","Ambient","No residue","R4","G-50","T90",97.79155759,18.13612804,81.86387196,0.044,0.968,0.078036649,1.716806283,22,0.07,0.681,0.560391688,5.451810569,9.728571429,1.16,11.1,9.57,6.73,15.46672327,48.31,49.11541053,64.5821338,55.03692566,-14.03134166,-19.12286901,-14.55568857,21.89062548,1.797311019,13.23111025,33.87,470.649354,0.593710134,0.695914057,25.61512837,0.026449505,0.244402985,19.64017991,833.7531183,-17.03058438,51.253,"Wooliver_ITS_2H7_Beever240927_S316",674,5.61049475695301,0.992945046421152,141.744377028676,0.861399745044038,"6 mo"
"32","127","Ambient","No residue","R4","G-00","T1",98.41170569,18.62355608,81.37644392,0.09,1.709,0.164949833,3.132214047,18.98888889,0.099,0.898,0.79283107,7.191538395,9.070707071,1.2,12.13,10.11,13.75,25.8220449,66.07,59.28720853,85.10925343,79.81507525,-22.26762615,-23.5659483,-22.66230649,NA,NA,NA,36.63,365.4554508,NA,NA,NA,NA,0.255988024,20.38140644,7.953012435,NA,73.681,"Wooliver_ITS_1H4_Beever240927_S196",877,5.95952268663278,0.995472846014389,220.889327639053,0.87943872755403,"24 hr"
"33","128","Ambient","No residue","R4","G-00","T90",98.20071336,18.02866756,81.97133244,0.063,1.112,0.111536965,1.968715953,17.65079365,0.082,0.777,0.660070752,6.25457286,9.475609756,1.17,10.88,9.3,9.53,18.09481575,56.42,57.4868829,75.58169865,65.94937754,-21.33813606,-23.00337886,-23.55287573,NA,NA,NA,26.66,382.3726224,NA,NA,NA,NA,0.239923225,19.3498452,825.0736786,NA,54.766,"Wooliver_ITS_1H9_Beever240927_S236",722,5.77184899981912,0.994761505742735,190.894549252028,0.87691081058223,"6 mo"
"34","129","Ambient","Five-species mix","R4","G-50","T1",97.27640374,17.93500108,82.06499892,0.126,2.03,0.219826203,3.541644385,16.11111111,0.143,1.116,1.141567279,8.909014572,7.804195804,1.97,16.24,8.24,11.16,21.80815508,57.95,54.85846411,76.66661919,69.10626815,-16.16134825,-20.83394768,-16.7733153,34.99992618,4.390714774,17.78608428,43.75,952.3811056,1.473987169,7.758818046,12.44498883,0.38402753,0.266339869,21.03225806,31.17139889,2.69531488,139.747,"Wooliver_ITS_2A3_Beever240927_S277",588,3.81769656840376,0.937486639157066,15.9965803552382,0.598692181678226,"24 hr"
"36","130","Ambient","Five-species mix","R4","G-50","T90",97.27156863,18.9483657,81.0516343,0.076,1.492,0.140078431,2.749960784,19.63157895,0.135,0.992,1.064342647,7.820947451,7.348148148,1.84,13.74,7.47,7.61,20.01427063,57.84,56.92101493,76.93528556,65.45766731,-18.59985836,-22.49258236,-19.4509175,11.66124805,1.265346056,9.632765317,47.85,793.9450939,1.896038297,1.230886964,26.70720276,0.044057664,0.259640103,20.6122449,1335.124178,-3.293938284,71.546,"Wooliver_ITS_2A8_Beever240927_S317",384,3.55137132446087,0.927890791991733,13.8678544338659,0.596804680011657,"6 mo"
"37","131","Ambient","Five-species mix","R4","G-00","T1",97.41527685,19.10625199,80.89374801,0.132,2.072,0.245683789,3.856490994,15.6969697,0.126,1.028,0.992916144,8.10093489,8.158730159,1.97,15.85,8.05,12.47,24.33117346,50.4,51.10999931,75.44117277,62.87309306,-24.15237439,-25.4322933,-24.17575474,NA,NA,NA,24.16,896.2328587,NA,NA,NA,NA,0.274949084,21.56549521,16.03109518,NA,119.438,"Wooliver_ITS_1A5_Beever240927_S197",465,3.69643605862734,0.936864922681533,15.8390556006732,0.601825715887813,"24 hr"
"38","132","Ambient","Five-species mix","R4","G-00","T90",97.45767717,18.91931015,81.08068985,0.126,2.169,0.232322835,3.999271654,17.21428571,0.138,1.026,1.090467126,8.107386024,7.434782609,1.9,14,7.37,12.23,28.5662261,57.39,57.90990017,86.47612627,69.62052424,-21.7446918,-24.19870281,-24.01756268,NA,NA,NA,118.04,477.3264381,NA,NA,NA,NA,0.245700246,19.72386588,1311.487476,NA,79.553,"Wooliver_ITS_1A10_Beever240927_S237",345,3.50901440295328,0.927329301782364,13.7607044452108,0.600494178280916,"6 mo"
"39","133","Ambient","Wheat-clover mix","R4","G-50","T1",97.00902406,18.46677531,81.53322469,0.111,1.743,0.198850267,3.122486631,15.7027027,0.146,1.182,1.154780949,9.348980013,8.095890411,1.74,14.98,8.61,11.43,20.84437003,66.37,62.40974642,83.25411645,77.7948975,-16.28764597,-20.19819912,-16.97227886,30.20191789,2.835069569,16.67222135,33.82,634.5910093,4.153316169,4.877964148,11.93265649,0.290171568,0.267857143,21.12676056,32.28994559,2.720124217,142.056,"Wooliver_ITS_2B3_Beever240927_S278",460,3.78816964057882,0.940300812718483,16.750646793304,0.617848589850113,"24 hr"
"40","134","Ambient","Wheat-clover mix","R4","G-50","T90",97.47810914,18.87707444,81.12292556,0.085,1.556,0.156408629,2.86319797,18.30588235,0.122,0.954,0.964740546,7.543954759,7.819672131,1.66,13.24,7.98,9.42,21.62536231,58.12,56.97851026,78.60387257,67.53910694,-18.23142866,-21.4128501,-19.36652372,15.21658246,1.988437296,9.595531985,119.03,457.277329,2.342577684,1.309298478,27.01995885,0.046217183,0.259340659,20.59336824,1390.658407,68.01554104,73.278,"Wooliver_ITS_2B8_Beever240927_S318",455,3.54259446975064,0.925636022952766,13.4473711561288,0.578827175748242,"6 mo"
"41","135","Ambient","Wheat-clover mix","R4","G-00","T1",98.00903614,19.60041113,80.39958887,0.104,1.619,0.19978581,3.110127175,15.56730769,0.137,1.134,1.079544411,8.935790964,8.277372263,1.71,14.73,8.61,11.68,21.11423744,63.13,60.66388977,81.77812722,74.8146328,-23.7624271,-23.56421131,-23.58353604,NA,NA,NA,58.6,629.3825898,NA,NA,NA,NA,0.264755481,20.93333333,17.63716488,NA,143.254,"Wooliver_ITS_1B5_Beever240927_S198",684,4.15679596464659,0.953830131363657,21.659147611541,0.636768192611216,"24 hr"
"42","136","Ambient","Wheat-clover mix","R4","G-00","T90",97.617,18.43941117,81.56058883,0.059,1.213,0.1062,2.1834,20.55932203,0.098,0.87,0.7802466,6.926679,8.87755102,1.73,13.74,7.94,6.14,15.89082969,45.1,50.41251092,66.30334061,51.23968786,-22.49090232,-23.98776387,-24.08262649,NA,NA,NA,82.97,497.5997579,NA,NA,NA,NA,0.260437376,20.66246057,1295.609756,NA,77.768,"Wooliver_ITS_1B10_Beever240927_S238",438,3.74786953948013,0.937176812455959,15.9176896157804,0.616201027076837,"6 mo"
"43","137","Ambient","Wheat","R4","G-50","T1",97.6805741,18.5203536,81.4796464,0.096,1.55,0.173671562,2.804072096,16.14583333,0.132,1.125,1.05058518,8.953850968,8.522727273,1.61,15.24,9.47,10.79,18.3994232,65.25,58.75230294,77.15172614,76.04079145,-16.66653812,-18.5749755,-16.37185316,28.90197562,5.443460202,18.05215781,64.29,720.5475866,-4.60475874,8.505532013,11.7181365,0.420573152,0.273356401,21.4673913,39.34351544,2.666391091,139.399,"Wooliver_ITS_2C3_Beever240927_S279",786,4.87698454171334,0.97967137747895,49.1917245728053,0.731515846518084,"24 hr"
"44","138","Ambient","Wheat","R4","G-50","T90",97.27868318,18.36147307,81.63852693,0.064,1.909,0.114315515,3.409817471,29.828125,0.11,0.906,0.873585724,7.195169687,8.236363636,1.52,13.17,8.66,7.52,25.89079325,57.47,54.63302724,80.52382048,64.99350254,-18.74722888,-20.60261409,-19.02894859,13.78092812,2.725523206,8.643468733,81.42,534.4202107,2.217152306,0.79285048,26.60132672,0.028942299,0.264204545,20.8988764,1490.284757,53.47837075,64.833,"Wooliver_ITS_2C8_Beever240927_S319",748,4.47311471367121,0.966620257348594,29.9582896861513,0.675962266248502,"6 mo"
"45","139","Ambient","Wheat","R4","G-00","T1",97.54378342,20.07873881,79.92126119,0.139,2.062,0.272239305,4.038542781,14.83453237,0.112,1.001,0.873132086,7.803618015,8.9375,1.55,14.7,9.48,17.56,27.47308014,56.33,53.08583683,80.55891698,73.89492841,-23.69743488,-25.77605261,-23.84674491,NA,NA,NA,79.57,878.8556905,NA,NA,NA,NA,0.270363951,21.28240109,24.95898784,NA,131.389,"Wooliver_ITS_1C5_Beever240927_S199",727,4.76844677367713,0.977024095989418,43.5238587147398,0.723706174281389,"24 hr"
"47","140","Ambient","Wheat","R4","G-00","T90",97.09142287,18.55840247,81.44159753,0.048,0.92,0.086489362,1.657712766,19.16666667,0.105,0.901,0.830264461,7.124459807,8.580952381,1.57,13.32,8.48,5.51,12.44529104,52.88,53.48693549,65.93222653,58.39196326,-22.62547404,-23.56588597,-23.48233094,NA,NA,NA,65.23,534.0608405,NA,NA,NA,NA,0.257201646,20.45826514,1410.258001,NA,72.196,"Wooliver_ITS_1C10_Beever240927_S239",707,4.50174060895811,0.967664318437432,30.9255890606496,0.686133145567753,"6 mo"
"48","141","Drought","Clover","R4","G-50","T1",97.34324866,18.60937817,81.39062183,0.129,2.414,0.233683155,4.372954545,18.71317829,0.162,1.228,1.283498061,9.729232219,7.580246914,1.94,15.69,8.09,12.05,27.87096587,66.16,62.00912823,89.8800941,78.20521735,-17.2980277,-21.88846901,-17.43671009,29.82812164,4.337213239,16.82105807,71.22,418.3337213,8.552426648,5.424002155,11.25172909,0.325263227,0.271914132,21.37834037,32.44825805,3.567425141,151.671,"Wooliver_ITS_2D3_Beever240927_S280",542,4.10761102711856,0.956140490515503,22.8000725898101,0.652492051357194,"24 hr"
"49","142","Drought","Clover","R4","G-50","T90",97.23333333,18.30581359,81.69418641,0.081,1.551,0.144174757,2.760679612,19.14814815,0.114,0.892,0.905547379,7.085511068,7.824561404,1.91,13.87,7.26,7.55,19.90396259,47.41,51.0851555,70.98911809,54.95927413,-18.45248444,-21.14032342,-19.70409885,14.59437484,2.120159285,8.48881298,71.22,529.0351201,3.206468356,0.951868206,25.97452195,0.035350754,0.265984655,21.01010101,1476.636816,90.79376373,83.332,"Wooliver_ITS_2D8_Beever240927_S320",501,3.837925889964,0.943091382262081,17.5720310868433,0.617366747636503,"6 mo"
"50","143","Drought","Clover","R4","G-00","T1",96.99899396,20.60494173,79.39505827,0.146,2.037,0.291804158,4.071267606,13.95205479,0.129,1.051,0.99346006,8.094004058,8.147286822,1.98,15.46,7.81,14.74,26.33420185,50.17,52.35448938,78.68869122,64.91233428,-24.34734803,-25.56741124,-23.84674491,NA,NA,NA,102.56,807.9323121,NA,NA,NA,NA,0.268292683,21.15384615,17.62910382,NA,160.762,"Wooliver_ITS_1D5_Beever240927_S200",476,4.25526469147847,0.964432214986934,28.1153296341801,0.690182691925416,"24 hr"
"51","144","Drought","Clover","R4","G-00","T90",97.15181413,19.06627661,80.93372339,0.102,2.039,0.188936983,3.776887333,19.99019608,0.128,0.978,1.006445831,7.689875175,7.640625,1.89,13.89,7.35,10,27.19141348,53.25,55.36267225,82.55408573,63.24776791,-22.35207999,-23.98776387,-24.1462826,NA,NA,NA,63.74,597.2313739,NA,NA,NA,NA,0.243523316,19.58333333,1359.790075,NA,91.93,"Wooliver_ITS_1D10_Beever240927_S240",406,3.8609364204056,0.947850381153258,19.1755955674155,0.642808758961088,"6 mo"
"52","145","Drought","No residue","R4","G-50","T1",96.94013378,18.21625594,81.78374406,0.059,1.784,0.104187291,3.150341137,30.23728814,0.108,0.981,0.856237726,7.777492676,9.083333333,1.23,12.32,10.02,8.47,25.57095079,69.61,63.12899899,88.69994978,78.08333469,-11.74092114,-15.4693581,-14.23834882,35.64101085,5.820122616,17.40147341,15.46,728.340501,1.350101316,9.6053107,11.18021879,0.462115276,0.263485477,20.85385878,19.37016494,-0.298955164,75.547,"Wooliver_ITS_2E3_Beever240927_S281",1234,6.28572187424362,0.996636220449307,297.284642150206,0.883072150116828,"24 hr"
"53","146","Drought","No residue","R4","G-50","T90",96.75081646,17.75521433,82.24478567,0.054,1.072,0.0927629,1.841515349,19.85185185,0.087,0.809,0.692280764,6.437415382,9.298850575,1.14,11,9.65,8.14,16.74104863,60.73,58.52195802,75.26300665,68.86347932,-14.03134166,-19.92547967,-15.90611894,20.26241647,1.59892915,10.38122406,68.86,430.5331914,-0.501448052,1.324206624,22.44289817,0.055715942,0.240932642,19.41544885,874.2750393,28.15379967,57.054,"Wooliver_ITS_2E8_Beever240927_S321",1055,6.13959698884253,0.996224996319154,264.900403958282,0.88196177096212,"6 mo"
"54","147","Drought","No residue","R4","G-00","T1",97.13697254,19.16904269,80.83095731,0.108,1.757,0.201098459,3.271574012,16.26851852,0.098,0.884,0.769464099,6.940880241,9.020408163,1.29,13.04,10.11,15.59,25.08875776,59.65,53.22760921,78.31636697,75.23740764,-22.4625998,-22.31605116,-22.53070357,NA,NA,NA,25.64,485.78883,NA,NA,NA,NA,0.26863354,21.1750306,8.488901315,NA,78.951,"Wooliver_ITS_1E5_Beever240927_S201",913,5.96078908580711,0.995152385885942,206.287046879398,0.874434507984319,"24 hr"
"55","148","Drought","No residue","R4","G-00","T90",97.92095238,17.89587325,82.10412675,0.069,1.147,0.120914286,2.009980952,16.62318841,0.101,0.922,0.812011143,7.412616571,9.128712871,1.12,10.54,9.41,10.8,19.07002801,72.5,70.32843047,89.39845848,83.29691327,-20.85525718,-23.14400699,-21.88186944,NA,NA,NA,19.48,522.1361609,NA,NA,NA,NA,0.262331839,20.78152753,823.5178781,NA,59.353,"Wooliver_ITS_1E10_Beever240927_S241",785,5.53825838354578,0.989704173105583,97.126730106765,0.830861261654384,"6 mo"
"56","149","Drought","Five-species mix","R4","G-50","T1",97.07782231,18.51017199,81.48982801,0.112,1.786,0.201255845,3.209311957,15.94642857,0.166,1.291,1.313201937,10.21291386,7.777108434,1.93,16.13,8.36,10.43,19.89654034,68.04,63.31626696,83.21280731,78.46931514,-16.98228341,-21.39273895,-17.43496309,32.03809207,3.550127078,16.93827517,59.18,999.7650442,7.107191436,7.713309833,11.43219894,0.40287829,0.276836158,21.68141593,35.04517346,4.944961203,147.825,"Wooliver_ITS_2F3_Beever240927_S282",450,3.76612153027842,0.937126335316696,15.9049103473929,0.616462416894601,"24 hr"
"58","150","Drought","Five-species mix","R4","G-50","T90",97.12203947,18.695957,81.304043,0.074,1.422,0.134368421,2.582052632,19.21621622,0.138,1.024,1.089705197,8.085928421,7.420289855,1.89,14.47,7.66,7.11,17.84417852,57.66,55.88063871,73.72481723,64.76579992,-18.15774227,-21.20489236,-18.35379832,10.53652243,2.035865181,11.02994799,53.25,242.7782771,1.335162816,0.471843614,26.0705957,0.01777695,0.263038549,20.82585278,1419.472411,-49.34749668,83.88,"Wooliver_ITS_2F8_Beever240927_S322",380,3.44150373606761,0.918545372608186,12.2767733647567,0.579361030120385,"6 mo"
"59","151","Drought","Five-species mix","R4","G-00","T1",97.94896598,18.59350045,81.40649955,0.137,2.134,0.249506338,3.886470981,15.57664234,0.115,1.002,0.916973482,7.98962982,8.713043478,2.08,17.29,8.31,12,22.47814332,44.09,46.20954205,68.68768537,56.08076057,-24.34734803,-25.49582609,-23.58353604,NA,NA,NA,67.78,689.4148753,NA,NA,NA,NA,0.27027027,21.27659574,18.66801331,NA,142.186,"Wooliver_ITS_1F5_Beever240927_S202",463,4.03574376133242,0.954011024000593,21.7443415137771,0.657530666608185,"24 hr"
"60","152","Drought","Five-species mix","R4","G-00","T90",97.41747888,19.47633992,80.52366008,0.149,2.423,0.282703054,4.597244964,16.26174497,0.132,1.001,1.035462378,7.852256368,7.583333333,1.82,13.63,7.49,15.53,33.72886988,56.89,57.61009808,91.33896795,72.42667209,-20.85525718,-24.12838875,-23.41062573,NA,NA,NA,69.42,440.6750668,NA,NA,NA,NA,0.262162162,20.77087794,1442.55301,NA,83.507,"Wooliver_ITS_1F10_Beever240927_S242",352,3.48662344349402,0.927275855239792,13.7505914067094,0.594618477711191,"6 mo"
"61","153","Drought","Wheat-clover mix","R4","G-50","T1",97.2727577,18.99184933,81.00815067,0.116,1.839,0.214297189,3.397349398,15.85344828,0.134,1.121,1.055904752,8.833352443,8.365671642,1.7,15.01,8.83,12.61,22.63390671,62.11,58.8497831,81.48368981,74.71776124,-15.90875081,-21.74413528,-16.90129079,33.89663157,3.877957199,16.39132642,58,1000.424504,6.591820911,6.898383952,11.04974746,0.384351094,0.276845638,21.68199737,39.29127938,0.933642063,154.078,"Wooliver_ITS_2G3_Beever240927_S283",614,3.95015498797713,0.943123441576739,17.5819358224569,0.615289425020959,"24 hr"
"62","154","Drought","Wheat-clover mix","R4","G-50","T90",97.41301587,18.64096907,81.35903093,0.108,1.945,0.196114286,3.531873016,18.00925926,0.127,0.989,1.006529429,7.838248857,7.787401575,1.72,13.81,8.03,11.4,25.5747503,58.52,56.75777594,82.33252623,69.92114618,-18.37880032,-20.25930504,-20.97013544,10.99339944,3.81929335,6.281563405,72.57,674.9055548,1.604204176,0.933802656,25.81988137,0.034903704,0.261971831,20.75892857,1470.898186,-105.191582,86.17,"Wooliver_ITS_2G8_Beever240927_S323",452,3.72127692441027,0.936265469083893,15.6900817441691,0.608680139881328,"6 mo"
"63","155","Drought","Wheat-clover mix","R4","G-00","T1",97.87942552,19.86002436,80.13997564,0.129,2.149,0.250761523,4.17741483,16.65891473,0.14,1.131,1.098167669,8.871625952,8.078571429,1.74,15.42,8.86,14.41,27.09088735,63.11,57.53324223,84.62412958,77.52466619,-24.28235682,-25.97859587,-23.78094295,NA,NA,NA,59.51,657.3475625,NA,NA,NA,NA,0.274004684,21.50735294,27.30788985,NA,151.144,"Wooliver_ITS_1G5_Beever240927_S203",598,4.16847165172428,0.957898788474667,23.7522855939261,0.651976614103517,"24 hr"
"64","156","Drought","Wheat-clover mix","R4","G-00","T90",97.93537201,19.57180244,80.42819756,0.114,1.907,0.21851198,3.655283733,16.72807018,0.143,1.122,1.126377459,8.837730832,7.846153846,1.68,13.36,7.95,13.01,27.35990818,67.05,66.15067988,93.51058806,80.05294279,-21.32816758,-24.2690158,-23.94142816,NA,NA,NA,80.28,475.4230537,NA,NA,NA,NA,0.259615385,20.61068702,1550.317569,NA,94.206,"Wooliver_ITS_1G10_Beever240927_S243",412,3.67097024997674,0.93130738124366,14.5576048504877,0.609692080063653,"6 mo"
"65","157","Drought","Wheat","R4","G-50","T1",96.74164439,18.58691108,81.41308892,0.125,2.29,0.224766043,4.117713904,18.32,0.122,1.131,0.960876404,8.907796825,9.270491803,1.65,15.97,9.68,13.62,25.78405701,58.23,55.7783145,81.5623715,71.85711797,-15.71930424,-19.4855943,-16.70037609,35.76336044,6.056022693,16.22313735,58.31,814.4374594,6.517993549,7.823671578,10.60169431,0.424614177,0.261363636,20.72072072,54.56107858,5.874406586,143.987,"Wooliver_ITS_2H3_Beever240927_S284",496,4.69907056845926,0.977983418621585,45.4203122097956,0.757111590019467,"24 hr"
"66","158","Drought","Wheat","R4","G-50","T90",97.52111324,18.36962975,81.63037025,0.065,1.4,0.116442738,2.507997441,21.53846154,0.1,0.877,0.796068458,6.981520377,8.77,1.58,13.59,8.6,7.37,18.45472731,50.38,51.37248254,69.82720985,57.75387319,-18.23142866,-21.47127826,-18.60697967,12.84812121,1.512100266,8.9151827,84.26,620.3328427,1.499446047,0.55057785,25.49738278,0.021137081,0.270655271,21.30044843,1888.07131,147.6948844,73.254,"Wooliver_ITS_2H8_Beever240927_S324",575,4.40368399745922,0.964156450297977,27.8990225106962,0.693016612061617,"6 mo"
"67","159","Drought","Wheat","R4","G-00","T1",97.81408545,19.99651938,80.00348062,0.126,1.947,0.246448598,3.808217623,15.45238095,0.113,0.987,0.884277804,7.723736215,8.734513274,1.57,15.52,9.89,15.7,24.53748469,56.32,49.76634159,74.30382628,72.02078993,-24.02239196,-24.93996954,-23.45193312,NA,NA,NA,67.4,652.5259571,NA,NA,NA,NA,0.265917603,21.00591716,38.08497768,NA,138.316,"Wooliver_ITS_1H5_Beever240927_S204",884,4.96472626253918,0.978872305393707,47.3312407545946,0.731779450691816,"24 hr"
"69","160","Drought","Wheat","R4","G-00","T90",97.64990138,19.18862418,80.81137582,0.072,1.373,0.134911243,2.572682446,19.06944444,0.136,1.161,1.073206312,9.161709763,8.536764706,1.52,13.04,8.58,8.88,19.72915986,70.61,70.25851045,89.98767031,79.48141804,-21.73457541,-23.70651085,-23.34074375,NA,NA,NA,57.2,503.7756128,NA,NA,NA,NA,0.263546798,20.85769981,1714.629486,NA,74.129,"Wooliver_ITS_1H10_Beever240927_S244",676,4.69756151112834,0.975446643821674,40.7276297682982,0.720905819749127,"6 mo"
"161","baseline1",NA,NA,NA,NA,NA,98.69583884,17.39997524,82.60002476,0.083,1.554,0.142536328,2.668692206,18.72289157,0.096,0.939,0.782618758,7.654989729,9.78125,1.18,11.91,10.09,12.08,22.40715538,66.32,64.27363333,86.68078871,78.40297338,-20.77282821,-22.65534285,-22.20169375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.11,"Wooliver_ITS_2A9_Beever240927_S325",1728,6.50536046249886,0.996623695148695,296.181785721574,0.872649879094903,NA
"162","baseline2",NA,NA,NA,NA,NA,97.88507662,19.87401778,80.12598222,0.08,1.426,0.15562958,2.774097268,17.825,0.097,0.927,0.760784377,7.270588841,9.556701031,1.16,11.94,10.29,13.42,23.23364546,65.58,60.89270386,84.12634932,79.00120322,-21.48773157,-23.13801891,-21.80688195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.471,"Wooliver_ITS_2B9_Beever240927_S326",1171,6.04612205555609,0.994068979040933,168.605035608794,0.855710855437677,NA
"163","baseline3",NA,NA,NA,NA,NA,96.617,19.38927242,80.61072758,0.069,1.243,0.12926,2.328553333,18.01449275,0.091,0.881,0.708741367,6.861551033,9.681318681,1.1,11.47,10.43,11.75,20.30124964,64.43,59.82171781,80.12296745,76.18194242,-21.55272279,-22.16872954,-22.39909964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.213,"Wooliver_ITS_2C9_Beever240927_S327",1277,6.3621677654843,0.996721741252569,305.039985261566,0.889531405145399,NA
"164","baseline4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wooliver_ITS_2D9_Beever240927_S328",1567,6.0324929555085,0.992891635485281,140.679336003284,0.819975532795458,NA
