"","Wooliver_ITS_1A1_Beever240927_S165","Wooliver_ITS_1A11_Beever240927_S245","Wooliver_ITS_1A12_Beever240927_S253","Wooliver_ITS_1A2_Beever240927_S173","Wooliver_ITS_1A3_Beever240927_S181","Wooliver_ITS_1A4_Beever240927_S189","Wooliver_ITS_1A5_Beever240927_S197","Wooliver_ITS_1B1_Beever240927_S166","Wooliver_ITS_1B11_Beever240927_S246","Wooliver_ITS_1B12_Beever240927_S254","Wooliver_ITS_1B2_Beever240927_S174","Wooliver_ITS_1B3_Beever240927_S182","Wooliver_ITS_1B4_Beever240927_S190","Wooliver_ITS_1B5_Beever240927_S198","Wooliver_ITS_1C1_Beever240927_S167","Wooliver_ITS_1C11_Beever240927_S247","Wooliver_ITS_1C12_Beever240927_S255","Wooliver_ITS_1C2_Beever240927_S175","Wooliver_ITS_1C3_Beever240927_S183","Wooliver_ITS_1C4_Beever240927_S191","Wooliver_ITS_1C5_Beever240927_S199","Wooliver_ITS_1D1_Beever240927_S168","Wooliver_ITS_1D11_Beever240927_S248","Wooliver_ITS_1D12_Beever240927_S256","Wooliver_ITS_1D2_Beever240927_S176","Wooliver_ITS_1D3_Beever240927_S184","Wooliver_ITS_1D4_Beever240927_S192","Wooliver_ITS_1D5_Beever240927_S200","Wooliver_ITS_1E1_Beever240927_S169","Wooliver_ITS_1E11_Beever240927_S249","Wooliver_ITS_1E12_Beever240927_S257","Wooliver_ITS_1E2_Beever240927_S177","Wooliver_ITS_1E3_Beever240927_S185","Wooliver_ITS_1E4_Beever240927_S193","Wooliver_ITS_1E5_Beever240927_S201","Wooliver_ITS_1F1_Beever240927_S170","Wooliver_ITS_1F11_Beever240927_S250","Wooliver_ITS_1F12_Beever240927_S258","Wooliver_ITS_1F2_Beever240927_S178","Wooliver_ITS_1F3_Beever240927_S186","Wooliver_ITS_1F4_Beever240927_S194","Wooliver_ITS_1F5_Beever240927_S202","Wooliver_ITS_1G1_Beever240927_S171","Wooliver_ITS_1G11_Beever240927_S251","Wooliver_ITS_1G12_Beever240927_S259","Wooliver_ITS_1G2_Beever240927_S179","Wooliver_ITS_1G3_Beever240927_S187","Wooliver_ITS_1G4_Beever240927_S195","Wooliver_ITS_1G5_Beever240927_S203","Wooliver_ITS_1H1_Beever240927_S172","Wooliver_ITS_1H11_Beever240927_S252","Wooliver_ITS_1H12_Beever240927_S260","Wooliver_ITS_1H2_Beever240927_S180","Wooliver_ITS_1H3_Beever240927_S188","Wooliver_ITS_1H4_Beever240927_S196","Wooliver_ITS_1H5_Beever240927_S204","Wooliver_ITS_2A1_Beever240927_S261","Wooliver_ITS_2A2_Beever240927_S269","Wooliver_ITS_2A3_Beever240927_S277","Wooliver_ITS_2B1_Beever240927_S262","Wooliver_ITS_2B2_Beever240927_S270","Wooliver_ITS_2B3_Beever240927_S278","Wooliver_ITS_2C1_Beever240927_S263","Wooliver_ITS_2C2_Beever240927_S271","Wooliver_ITS_2C3_Beever240927_S279","Wooliver_ITS_2D1_Beever240927_S264","Wooliver_ITS_2D2_Beever240927_S272","Wooliver_ITS_2D3_Beever240927_S280","Wooliver_ITS_2E1_Beever240927_S265","Wooliver_ITS_2E2_Beever240927_S273","Wooliver_ITS_2E3_Beever240927_S281","Wooliver_ITS_2F1_Beever240927_S266","Wooliver_ITS_2F2_Beever240927_S274","Wooliver_ITS_2F3_Beever240927_S282","Wooliver_ITS_2G1_Beever240927_S267","Wooliver_ITS_2G2_Beever240927_S275","Wooliver_ITS_2G3_Beever240927_S283","Wooliver_ITS_2H2_Beever240927_S276","Wooliver_ITS_2H3_Beever240927_S284"
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Macrophomina|s__phaseolina|t__plant_pathogen",0,27,0,0,253,0,31,187,134,54,0,0,0,0,23,0,0,20,30,187,58,0,0,328,352,64,0,0,30,79,16,23,23,0,334,24,0,0,29,232,72,0,153,214,52,62,41,0,0,27,0,0,0,20,446,39,187,52,0,0,18,0,24,224,122,104,0,0,0,29,373,312,145,0,26,0,0,271,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Minutisphaerales|f__Minutisphaeraceae|g__Minutisphaera|s__aspera|t__wood_saprotroph",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121,0,0,0,40,6,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,5,2,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Epicoccum|s__thailandicum|t__plant_pathogen",0,78,400,80,0,210,55,6,0,266,132,108,174,17,20,115,16,8,134,0,95,55,90,63,8,203,59,83,241,74,9,818,47,40,0,77,19,21,35,4,120,21,5,7,34,7765,79,34,139,37,76,195,336,169,0,161,16,64,90,35,38,0,54,7,113,132,30,112,29,102,27,0,617,157,200,94,93,4,22
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Stagonosporopsis|s__astragali|t__plant_pathogen",35,337,269,354,231,410,153,48,110,684,598,222,472,152,141,150,195,456,619,158,238,182,135,149,142,631,295,178,373,570,128,161,364,269,133,282,340,125,172,90,457,193,128,118,331,253,208,240,223,271,181,523,709,244,58,622,196,219,209,204,456,194,337,194,239,609,370,312,398,359,198,271,894,229,236,416,264,96,176
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Stagonosporopsis|s__lupini|t__plant_pathogen",58,360,159,258,84,182,94,59,22,288,239,122,895,124,211,81,259,834,327,0,103,115,141,0,109,235,155,322,203,298,134,118,587,142,78,321,502,87,207,78,249,108,70,63,193,79,160,279,186,175,558,952,657,119,63,461,113,279,170,158,868,109,194,166,157,193,3249,474,584,199,197,66,355,156,175,414,1295,58,138
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Sporormiaceae|g__Sporormurispora|s__atraphaxis|t__wood_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Exophiala|s__pisciphila|t__animal_parasite",3,52,30,109,307,151,19,1910,430,239,643,47,63,87,53,42,24,46,166,337,106,83,89,378,595,136,64,33,152,241,23,37,56,66,231,33,44,65,99,306,172,38,299,272,90,107,58,41,65,28,46,36,60,46,286,159,220,147,76,42,65,55,105,350,151,164,98,45,59,62,565,354,148,46,16,120,152,334,86
"k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__burgense|t__unspecified_saprotroph",9,71,114,114,421,195,81,307,343,202,134,59,108,154,90,87,55,118,117,464,173,96,188,644,898,174,133,28,181,186,9,77,119,98,269,76,112,108,146,392,199,37,517,463,159,193,69,63,73,117,62,31,70,112,454,160,400,185,77,35,95,172,162,534,211,168,85,62,86,53,607,633,109,62,60,125,81,563,118
"k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Talaromyces|s__purpureogenus|t__unspecified_saprotroph",1,58,29,49,439,84,19,287,209,128,112,36,49,53,23,35,28,31,110,536,105,32,57,481,651,73,25,36,42,156,19,25,59,72,309,38,36,121,36,328,59,8,398,435,66,45,26,47,59,33,11,19,40,25,301,47,300,42,18,29,38,27,69,428,76,91,60,36,55,37,392,344,55,18,16,65,39,298,25
"k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliales_fam_Incertae_sedis|g__Vermispora|t__animal_parasite",150,334,405,372,7,2123,184,0,0,2221,2191,324,574,422,254,220,231,396,421,22,1348,328,313,4,10,2446,402,312,2143,1882,165,213,430,290,0,631,434,297,383,2,1843,220,0,0,1311,1650,281,391,540,383,281,293,387,140,0,1437,9,1220,279,236,591,132,453,18,1711,2283,382,350,333,408,0,0,1942,184,219,615,423,31,880
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Chaetosphaeriales|f__Chaetosphaeriaceae|g__Chloridium|s__aseptatum|t__litter_saprotroph",0,18,35,28,224,277,17,158,90,521,352,19,23,31,23,10,23,13,32,210,376,21,17,231,494,586,16,5,575,331,6,10,21,14,152,27,20,19,25,186,357,8,254,198,223,126,13,25,11,0,12,0,20,5,119,191,164,114,0,13,4,36,45,253,277,484,36,26,0,17,185,312,1140,22,15,38,18,256,141
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Coniochaetales|f__Coniochaetaceae|g__Coniochaeta|s__verticillata|t__unspecified_saprotroph",0,9,37,24,413,139,12,324,297,90,100,43,61,62,22,43,50,18,84,467,67,40,56,436,624,75,27,7,137,109,7,24,36,23,414,51,20,86,34,322,78,6,440,403,70,91,26,17,72,24,9,11,16,0,361,48,300,77,63,1,41,51,17,302,103,67,36,47,24,33,597,474,125,3,6,26,39,444,38
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Plectosphaerella|s__slobbergiarum|t__plant_pathogen",153,606,455,650,226,169,273,81,64,149,162,368,1388,330,202,204,369,559,399,135,116,246,300,190,182,209,322,698,169,218,167,154,544,365,184,797,963,227,249,50,168,196,200,153,249,125,350,561,308,281,325,5050,1317,206,136,228,180,149,243,244,1780,202,354,139,207,224,486,772,988,480,240,178,243,216,224,790,489,147,92
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Stachylidium|s__bicolor|t__animal_parasite",18,153,163,160,1274,545,114,1056,481,368,310,140,169,199,145,107,120,152,169,1223,222,171,200,1150,1416,303,143,92,235,356,68,87,111,103,929,127,86,233,200,954,208,87,988,906,302,245,104,128,177,124,101,61,129,119,1083,280,730,277,162,141,153,146,189,1228,349,367,183,133,149,164,1447,1393,312,121,102,167,167,1228,222
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Verticillium|s__dahliae|t__plant_pathogen",31,177,159,323,470,204,100,383,252,240,212,132,195,186,74,168,144,189,215,398,167,130,159,435,615,219,220,170,205,243,31,131,149,141,432,170,228,178,115,377,149,117,548,606,224,204,178,122,261,170,164,135,207,132,425,240,488,246,206,170,247,156,170,536,160,199,194,182,207,213,872,615,171,223,156,279,171,485,116
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Bionectriaceae|g__Clonostachys|s__rosea|t__wood_saprotroph",65,604,187,257,362,148,268,233,203,75,126,368,502,628,203,229,241,396,211,295,115,111,250,707,552,111,453,302,44,36,198,229,465,340,274,394,430,151,154,203,178,282,322,1320,143,86,504,400,255,311,273,300,483,200,234,237,323,148,285,253,452,155,249,340,130,222,405,424,473,259,392,312,182,146,231,611,281,326,89
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreales_fam_Incertae_sedis|g__Acremonium|s__persicinum|t__unspecified_saprotroph",3,27,5,25,412,63,19,412,213,59,40,11,38,11,0,7,13,19,44,480,16,5,29,378,643,12,10,0,18,23,1,0,20,35,264,13,15,59,42,277,36,18,281,457,37,36,0,9,25,7,3,4,18,15,254,18,227,31,12,11,12,15,41,359,47,8,31,24,41,8,506,663,40,23,10,36,24,377,13
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__equiseti|t__plant_pathogen",302,2284,2266,3196,210,2044,1887,214,184,1889,2143,2817,3167,1946,1890,1965,1447,2777,2191,327,1144,1181,2405,842,623,1804,3531,1775,1253,2822,1262,1678,2249,2519,250,2911,2920,1301,1758,298,2165,2192,345,282,2432,1505,3461,1980,2688,2514,2279,1522,3610,1307,279,2163,397,2935,2513,2535,3085,1721,3043,333,1390,3316,4391,2595,2266,2489,1041,223,2709,2315,2081,3881,2991,433,1236
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__fujikuroi|t__plant_pathogen",103,808,650,914,103,689,804,132,0,535,646,785,1055,888,509,688,722,951,610,105,371,477,917,133,137,543,978,801,404,567,371,525,872,660,91,864,1043,471,812,134,661,650,85,122,526,414,817,723,926,690,490,530,889,732,96,665,138,713,710,676,1152,660,837,131,729,594,1258,814,1143,849,148,101,1129,633,643,1190,887,106,436
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__sporotrichioides|t__plant_pathogen",174,2135,3118,3970,381,3453,1811,206,156,3182,3535,3705,3242,2532,1813,2250,1402,1898,3346,365,1886,1271,2691,337,544,2989,4025,1959,2244,3004,1344,1778,2122,2274,244,2658,2864,1304,1464,332,3254,2506,393,358,3562,2484,3400,1992,3278,3193,2046,1442,3222,1159,194,3788,452,5180,3115,2551,3277,1282,3750,313,2774,3634,4674,2295,2222,3298,526,229,3796,2070,1745,3144,3184,364,1679
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__tricinctum|t__plant_pathogen",42,197,229,456,29,219,198,40,39,299,265,268,305,144,249,182,185,229,252,13,178,243,227,15,47,258,236,333,188,362,192,163,235,189,28,210,178,167,241,6,290,157,17,39,282,201,186,275,302,225,201,217,300,177,12,355,11,184,243,168,414,184,327,10,228,201,212,256,354,251,47,7,317,198,197,337,279,18,203
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__virguliforme|t__plant_pathogen",2,82,104,122,632,186,92,274,248,228,168,76,79,115,65,56,70,117,87,286,183,80,138,397,558,134,119,64,145,174,54,49,83,78,247,87,93,73,116,316,189,19,338,265,176,132,86,81,101,80,55,23,91,113,274,127,247,144,76,58,85,97,111,366,266,122,127,78,107,104,521,410,137,42,53,152,108,395,140
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|t__plant_pathogen",474,5345,3230,4109,579,3085,3516,466,408,2707,2777,3509,7221,4062,2627,3340,3737,6197,3324,571,1561,2218,4443,690,804,2283,4587,4131,1788,2716,2235,3336,5320,3428,494,5121,5803,2451,3365,514,2916,3244,647,572,2659,2111,5988,5390,3607,3387,2223,3042,6251,2715,629,2745,483,3484,4568,3391,6135,2874,4717,603,2997,2879,6321,5019,6953,4385,781,557,3842,3289,3579,7904,4882,534,1503
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Neocosmospora|s__rubicola|t__soil_saprotroph",120,638,400,470,78,372,559,99,58,522,344,646,973,580,333,512,574,781,561,116,297,320,530,100,130,507,826,481,377,359,308,386,1102,579,179,678,830,372,444,108,386,363,109,153,487,279,814,853,679,564,381,393,846,461,119,310,26,663,689,501,877,616,675,88,451,586,865,608,1012,667,175,85,596,448,520,1184,767,107,256
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Niessliaceae|g__Eucasphaeria|t__plant_pathogen",0,5,0,13,55,565,0,17,42,699,403,9,6,109,0,0,0,2,27,22,392,0,41,39,99,725,11,5,349,753,0,0,3,5,18,3,10,13,5,24,388,0,48,34,812,568,3,0,21,0,0,0,0,3,30,705,50,288,5,0,0,0,214,50,442,588,22,0,3,5,81,48,213,0,3,0,1,75,506
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Stachybotryaceae|g__Albifimbria|s__verrucaria|t__soil_saprotroph",11,418,1184,325,86,92,375,70,39,179,424,1955,2567,649,835,1388,521,698,708,116,87,164,1093,67,184,44,6819,3678,26,59,203,1460,1090,756,84,2274,1888,125,103,52,229,2338,127,63,43,10,1124,575,386,3004,3907,1663,1992,1250,136,85,59,100,1999,6301,6354,200,409,72,55,19,5124,2670,292,307,134,174,544,1845,339,513,389,112,58
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|t__NA",0,90,57,163,525,257,55,411,309,207,147,102,85,153,55,39,16,36,61,977,176,102,125,497,560,137,86,88,172,97,53,38,91,59,347,119,13,76,59,327,263,39,462,455,179,115,50,62,88,47,39,32,93,95,517,188,382,149,81,44,86,59,73,452,195,320,118,75,63,79,513,644,170,64,47,90,161,587,87
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Phomatosporales|f__Phomatosporaceae|t__NA",0,9,13,13,186,22,8,3092,148,21,0,20,15,6,0,6,26,17,29,181,7,6,15,218,445,5,11,9,6,20,0,5,16,5,172,9,5,0,12,225,30,12,205,188,23,16,28,8,10,16,0,0,10,12,183,19,156,43,2,13,6,13,10,265,27,20,20,25,7,13,326,307,11,0,17,7,5,286,10
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Pseudodactylariales|f__Pseudodactylariaceae|g__Pseudodactylaria|s__fusiformis|t__litter_saprotroph",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,6,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__distorta|t__wood_saprotroph",185,721,1411,1473,208,627,1198,329,76,637,770,1419,1791,1409,1199,1147,596,765,1176,111,614,786,990,126,233,743,1720,1250,564,502,834,1135,1178,1175,135,1380,1386,972,948,105,727,1190,179,28,529,404,901,1077,1162,1649,1132,878,1317,842,38,626,109,386,1978,1287,1700,836,1568,145,734,795,2922,1663,814,1480,182,102,927,1137,830,960,1355,45,318
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__olivacea|t__wood_saprotroph",414,2311,3323,2157,140,1574,5280,86,60,1435,1180,4277,4061,3605,3008,2961,2139,2869,2802,370,1756,1727,3026,182,170,1137,3653,1602,1557,1328,2928,2911,3278,3101,28,1798,2474,1844,2890,72,2157,2758,199,112,2096,1308,4237,3315,3491,2315,2560,1526,2773,2613,101,1531,63,1823,4842,3005,4251,3308,2568,146,1307,974,5475,2863,3874,3420,213,181,2012,3036,3066,4740,3292,176,788
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__sardiniae|t__wood_saprotroph",1690,14653,23030,29305,762,15397,30649,629,392,10495,10932,23861,23909,27838,19772,30771,11751,21408,27001,852,10916,15775,27514,894,1143,9343,33825,15038,8317,11810,17607,28198,19448,21155,562,19044,20102,21815,23558,799,12534,18678,644,464,12438,10999,27787,19071,21426,23956,19239,10243,19037,20178,852,15234,500,11308,40911,24747,25162,24847,26328,586,11345,11279,46449,22407,17865,26299,956,705,18012,26480,23884,25168,32502,608,6715
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|t__wood_saprotroph",563,4703,7489,9506,258,5040,10069,227,120,3453,3587,7967,7887,9208,6478,10196,3939,7290,8642,254,3484,5085,9142,347,422,2962,11254,5022,2724,3718,5844,9456,6310,6661,153,5926,6511,7326,7606,240,4004,6133,289,188,3975,3407,9108,6361,7009,7906,5995,3467,6241,6559,341,4711,183,3675,12824,7709,7951,7786,8200,210,3583,3555,14243,6848,5733,8105,324,229,5496,9031,7379,8195,9873,208,2018
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Lasiosphaeriaceae|g__Schizothecium|t__dung_saprotroph",0,54,121,344,408,257,9,299,139,368,449,53,79,238,34,3,21,8,164,371,146,135,115,262,287,808,162,61,267,611,65,61,31,83,142,274,65,167,38,193,462,125,206,306,313,374,31,32,185,25,42,128,31,86,168,561,234,215,81,42,186,21,212,221,206,771,79,38,85,182,340,233,537,50,12,14,114,416,90
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Naviculisporaceae|g__Pseudorhypophila|s__marina|t__NA",0,0,229,511,49,2920,61,0,3,3100,3353,97,0,530,87,72,0,0,491,91,1615,246,509,32,0,4650,183,0,1872,3122,58,84,0,366,20,0,0,472,416,0,1347,2,76,0,2757,2499,85,109,376,0,75,0,0,263,0,2987,49,1796,92,91,25,320,550,427,2875,4037,563,0,0,445,65,0,3369,43,0,33,310,108,1874
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariales_fam_Incertae_sedis|g__Staphylotrichum|s__acaciicola|t__soil_saprotroph",440,2440,4685,4385,333,3853,5425,271,230,3418,3043,4553,4079,6109,3779,3590,2834,4741,5543,325,2951,3629,5082,409,424,3013,5463,2366,2494,3362,3565,4338,5416,5977,250,2761,2898,4368,5359,214,4658,3355,314,264,3506,4040,4472,3514,6062,2721,2782,1809,3075,4917,429,4288,162,3561,6740,3415,4493,6064,5878,325,3600,3713,6638,3569,5477,6715,452,364,4537,3219,3692,5963,5852,396,1992
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|t__NA",0,36,134,164,398,296,60,157,398,894,578,75,63,222,20,49,32,101,225,99,485,55,161,450,893,362,49,219,363,321,90,33,48,88,210,61,2,51,140,168,430,44,202,298,380,255,83,51,222,56,46,139,36,140,128,862,272,220,195,73,43,99,331,238,691,783,79,15,51,224,352,1873,534,96,86,27,299,173,431
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariomycetes_ord_Incertae_sedis|f__Papulosaceae|g__Wongia|t__plant_pathogen",0,23,25,93,213,123,26,241,121,90,123,24,56,57,36,55,16,47,56,218,25,35,87,252,363,61,23,11,65,108,0,17,55,18,236,57,13,74,48,249,84,13,253,278,83,44,19,37,25,12,19,13,28,20,220,88,243,73,29,12,31,40,58,324,112,88,51,28,31,39,364,210,88,17,7,83,58,236,28
"k__Fungi|p__Ascomycota|t__NA",23,48,29,90,469,73,16,384,272,101,96,53,44,65,16,30,38,73,56,310,83,22,22,432,721,74,22,46,85,92,1,17,37,83,257,54,31,43,59,240,58,10,260,279,89,99,19,82,28,28,32,22,98,19,311,122,199,61,44,18,71,19,35,403,122,116,29,48,48,39,566,398,87,3,18,55,35,225,20
"k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Minimedusa|s__polyspora|t__lichen_parasite",17,0,134,200,0,1166,22,0,0,833,405,47,58,254,0,20,0,0,313,0,734,89,298,0,0,741,10,0,692,893,23,0,0,68,0,63,0,85,146,0,663,7,0,0,1304,1798,0,0,173,96,0,0,0,17,0,696,41,600,0,15,0,85,118,6,647,855,132,20,0,133,83,12,279,0,0,0,99,0,235
"k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Sistotrema|s__coronilla|t__litter_saprotroph",0,0,0,0,0,1972,0,0,247,2618,1956,0,0,0,0,0,0,2,0,0,3110,3,0,0,0,2406,0,0,2270,1421,0,0,0,267,0,0,0,0,0,0,598,0,0,0,1021,800,0,0,5,0,0,0,0,124,0,1531,0,452,0,0,0,0,0,0,2595,2996,0,0,0,0,0,0,5723,0,0,0,0,24,1284
"k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae|g__Ustilago|s__maydis|t__plant_pathogen",3,9,17,6,627,18,3,309,410,17,50,14,26,14,5,5,5,28,6,389,0,3,12,589,785,0,9,7,2,112,25,3,16,9,313,34,37,0,133,304,6,23,539,297,10,0,9,35,9,0,5,10,12,33,337,0,598,4,22,0,6,0,13,443,8,6,18,2,6,2,524,357,3,2,6,12,4,377,3
"k__Fungi|p__Chytridiomycota|c__Rhizophydiomycetes|o__Rhizophydiales|f__Rhizophydiaceae|t__NA",0,0,3,3,336,32,187,195,60,48,83,38,32,17,13,33,18,35,9,1643,8,0,22,273,460,48,11,47,224,39,5,19,27,2,565,20,35,7,14,153,43,8,112,186,93,127,18,40,21,3,2,39,16,20,902,120,95,654,15,28,15,53,35,149,159,60,41,13,22,3,150,182,40,0,3,39,7,81,53
"k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Linnemannia|t__NA",331,2713,2747,3127,413,3632,1697,291,347,5419,4085,2006,2623,3080,2012,2035,1994,2667,2580,312,2584,1836,2599,421,488,3258,2681,1527,2651,3861,1357,1739,2759,1933,223,3301,2806,2046,1954,361,3252,1210,364,448,2991,2998,1692,2096,2105,2801,1516,1153,2198,1759,381,3008,284,2429,1717,1145,2850,1572,2311,407,2855,3676,2394,1907,2595,2258,488,336,3744,931,1440,3513,2022,268,1498
"k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Mortierella|s__rishikesha|t__soil_saprotroph",219,719,1228,1152,375,1043,891,248,138,1555,1538,748,1240,1129,1176,1014,895,1256,925,166,788,729,880,216,233,1100,1005,673,1162,1017,710,859,1176,769,104,1242,1060,593,897,187,1286,676,160,94,1182,941,911,1164,731,1055,676,545,1005,834,145,1072,178,838,964,535,1018,653,1094,212,800,1346,1069,574,824,874,222,171,1570,463,677,1397,766,143,562
"k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|t__NA",816,3974,3366,4104,562,4932,3006,428,178,5775,4937,3240,4227,3926,3389,3194,3201,4428,3500,377,3564,2953,4289,602,611,3942,3516,2784,3742,5025,2123,2889,4389,2481,433,4185,3514,3074,3161,405,4306,2602,443,390,4312,3667,3198,3607,2818,3968,2502,2162,4174,3074,322,3439,393,3225,3397,2285,3883,2342,3810,505,3851,4374,3967,2727,3973,3111,483,551,4520,1972,2478,5866,3054,394,1982
"k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mucoraceae|g__Mucor|s__circinelloides|t__soil_saprotroph",111,311,760,480,0,356,202,9,7,488,585,419,1075,583,305,352,207,325,567,0,344,162,600,0,38,496,735,583,323,293,208,328,313,572,28,878,654,189,165,7,913,587,38,0,362,193,611,189,420,640,506,542,927,242,13,828,0,208,342,562,1311,190,636,30,204,405,1066,710,306,671,0,10,482,361,245,649,628,6,298
"k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mucoraceae|g__Mucor|s__fragilis|t__soil_saprotroph",45,186,459,316,0,256,198,0,3,243,218,199,589,292,195,180,130,176,382,17,173,97,280,23,0,378,351,416,211,125,103,135,208,184,0,476,299,134,85,6,404,165,0,0,174,159,368,127,278,406,241,321,420,144,0,352,0,37,187,214,489,126,438,0,64,326,474,317,220,351,0,0,315,181,126,296,255,0,133
"k__Fungi|t__NA",346,741,946,1176,2146,1620,366,1464,1060,921,1034,738,1056,1580,470,373,447,671,1010,2110,1173,764,790,1952,3372,1060,866,614,1281,1684,333,564,709,834,1063,707,668,836,1125,1487,1342,540,1967,1276,1971,1116,744,684,900,619,400,555,803,523,1205,1048,980,1897,1020,587,887,876,875,2330,1129,1209,716,608,609,903,1816,3488,1018,417,468,1150,991,1692,393
